Reviewer,Country,Title,Review Text,Date,Rating,Link
whaho jedo,ZA,Racist company,"This is a racist company that tells its white employees to be ""less white"".  Wa Te Fu?  As a white consumer, I find that extremely insulting and offensive.  Terrible.  I cannot support a company so openly racist and bigoted.","Feb 27, 2021",1,https://www.trustpilot.com/users/603aac5867c0cf001af62687
Robert Sanford,US,I am not going to be less of what I am,"I am not going to be less of what I am.How about ""be less a customer of Coca Cola products""? Now that is politically correct.","Feb 27, 2021",1,https://www.trustpilot.com/users/603a7b13f560680019dad6ca
Kimmi Carico,US,I am now a huge fan of Pepsi,I am now a huge fan of Pepsi! Bad move Coke!! No more Coke products for me! I'm white! You remember those words!!,"Feb 27, 2021",1,https://www.trustpilot.com/users/5c7c99c083a3286cd5d44387
Sherry Abbott,US,A negative star would be better,A negative star would be better!  I have been a loyal customer for over 50 years.  I now own no stock in coca cola nor will I buy any product from your company.  Be less white my azz.  You should be proud of your race no matter what it is.  Black people are proud to be black yet white people can't be proud to be white or they are racist.  What a joke!!!!!!!!,"Feb 27, 2021",1,https://www.trustpilot.com/users/603a4feb4de76c001a17f2be
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Kate Padlo,US,Coca Cola is racist trash,I wish I could leave a middle finger instead of 1 star. Screw your trash company. I hope you go out of business. Pepsi tastes better anyways.,"Feb 27, 2021",1,https://www.trustpilot.com/users/603a4c89f560680019dab4b4
Gareth John Williams,GB,I AM JUST TOO WHITE TO ENJOY COCA COLA.,I AM JUST TOO WHITE TO ENJOY COCA COLA.Get f*cked Coca Cola. Racist trash.,"Feb 26, 2021",1,https://www.trustpilot.com/users/585bea790000ff000a649107
Charles Patterson,US,I wish I could leave negative stars,"I wish I could leave negative stars. Your a racist company that I will no longer purchase your products or any companies that sells your products such as McDonald, Burger King, ext ..... I just sold all my stock in your company that I have been buying for the last 15 years through your divide reinvestment plan.  I would like for you to change your training line from “try to be less white” and put the word black in its place. See how well that would go over. You racist liberal a..holes.","Feb 26, 2021",1,https://www.trustpilot.com/users/60396dc14de76c001a178c1f
James Hinson,US,There was a curly black hair in my…,There was a curly black hair in my bottle of coke and I do not appreciate this! I've drank coke all my life but now I won't nor will any of my friends ever drink it again racist pigs!,"Feb 26, 2021",1,https://www.trustpilot.com/users/5d714dd33e01a4f538e20392
Matt,US,I am so appalled by Coca Cola,I am so appalled by Coca Cola. We all were created in the image of God it doesn’t matter if your white or black we are all human beings and have hearts and feelings. Shame on you Coca Cola for promoting such hate and racism. I have drank Coca Cola my whole life but I cannot continue to do so now as it goes against my moral values.,"Updated Feb 26, 2021",1,https://www.trustpilot.com/users/60394d7af560680019da3f4d
"Jason-Fairfield,OH",US,Be Less White Polar Bear,"I will NEVER buy a product they make ever again. NEVER This Nazi narrative that as long as you pick a class of individuals (Caucasians) in this case its ok to say or do whatever you want to to them based on the way they was born. If your company thinks my Wife, kids, parents and myself as well as 1/3rd of my family are Oppressive, defensive, too certain, (whatever that means) arrogant, and ignorant and in need to be more humble and believe more false narratives about myself based on how someone else feels then your ENTIRE lineup of products will NEVER be at my house ever again. F.U. Coke!!!!","Feb 26, 2021",1,https://www.trustpilot.com/users/5980d4530000ff000ab64396
Elaina Crawford,GB,Watch the shares drop,"If I were a share holder, I'd be cashing in my shares and scooting over to Pepsi. The idiot that decided that blatant racism content towards white staff in a seminar is acceptable has cost you dearly. No one should be subject to racism at work. Personally, my preference was Coke but the added unethical twist is a bit too bitter for me","Feb 26, 2021",1,https://www.trustpilot.com/users/593c5cd40000ff000aa23450
Deutsch Lernen,RS,Racist narrative,"Pretty spineless, even for a company, that supported Nazi Germany. Never buying coca cola product again.","Feb 26, 2021",1,https://www.trustpilot.com/users/6038c5f5dc7653001978254b
John Timerman,US,Coca cola has began a narrative of racism with a public statement.,"Coca cola has began a narrative of racist policys. I am Native American and Caucasian heritage. They have presented that being white makes you less of a person. No one gets to choose their race. But we do get to pick our products. I was a die hard coke fan. No more. The racist edict that they just release amd support is hard core racist. Racism is committed by any and all races! White, black, Latino, asian, native american, ANY RACE! The narrative that seems to be pushed is punish an entire race for the actions of a few individuals. A skin color does not commit racism. Individuals do! But the ones screaming racism are in fact propagating racism by their own actions and words! But when a publicly traded company produces a written statement of racist policy and making atrocious statements aboht a race they are racist! Coke is a racist corporation! Boycott them.","Updated Feb 26, 2021",1,https://www.trustpilot.com/users/60383f1033bbbc00196f0ee1
Lisa Brooks,US,Your racism motivated me to be healthier,We all know your products are bad for us. Your recent racism just convinced me to get healthier and stop drinking Diet Coke everyday. Thanks for making me a healthier white woman,"Feb 25, 2021",1,https://www.trustpilot.com/users/5f147b9155d0f813683e8670
Carole Demott,US,With all that’s going on in the world…,"With all that’s going on in the world today, being “less white” is going to cost you. You people are the most racist company and won’t be getting my business. Low life","Feb 25, 2021",1,https://www.trustpilot.com/users/6037e551e3e1a6001ff060b8
MICHAEL HICKS,US,Since I'm WHITE,"Since I'm WHITE, I will NO LONGER be drinking Coca Cola. You should be ASHAMED of yourself.","Feb 25, 2021",1,https://www.trustpilot.com/users/5c6487269aac322b61c3d436
Mr Carl Winston,GB,Gut rot in a can,"Gut rot in a can, bad for your teeth and well being.Not good for white people as it’s unhealthy.","Feb 25, 2021",1,https://www.trustpilot.com/users/5cdd675fa5274e104b1f559f
Basil,US,I'm too white to buy Coke now.   Sorry...........,2-*I’m “Too White “. To buy Coke!!I think I’m “Too White” now to buy coke products. It’s outrageous that they are training their employees to be less white? Really. Sounds like a racist company to me. Imagine if they told their black employees to be less black! Every employee should sue Coke over having to endure this racist training program!,"Feb 25, 2021",1,https://www.trustpilot.com/users/6012fe721a3577001a277615
Heather Maness Talla,US,Coca-Cola shows true racist colors,"So Coca-Cola has shown it's ""true colors"" and instead of bringing any level of unity, they prove racist and narrow minded.Research ALL their products to be sure you are not propagating racism!","Feb 25, 2021",1,https://www.trustpilot.com/users/60376aab0f2e6d001bbf7a5d
steve skinner,CA,Due to the recent pandering,"Due to the recent pandering to the Democratic Party and blm terrorists, I will not be purchasing any Coca-Cola products. I will also denounce Coca-Cola publicly on social media, and while with friends, coworkers, family or acquaintances","Feb 24, 2021",1,https://www.trustpilot.com/users/6036df32e3e1a6001fefd625
Peter Millar,GB,Such a shame coca cola,Such a shame coca cola. Why did you have to be all racist?,"Feb 24, 2021",1,https://www.trustpilot.com/users/5fd353c5ec6acd001a38b147
LM in Mo,US,Racist company,"Too bad you are a racist company. You just lost my family. Dr. Pepper from now on because I don't know how to be less white. I am who I am and I would never change for anyone especially not for an employer, nor would I expect my coworkers to ever be less than they are. I see a big class-action lawsuit in your future! In the future, you should remember there is only one race. THE HUMAN RACE!","Feb 24, 2021",1,https://www.trustpilot.com/users/6036c84fd7c49c0019ab999c
Rob Huffman,US,Thank you Coca Cola for letting me know…,"Thank you Coca Cola for letting me know that my ethnicity is not to your liking.  I will gladly stop tainting your name by boycotting your products, all of them!","Feb 24, 2021",1,https://www.trustpilot.com/users/6036c5f0d8cdec001ad393fa
Mark Leonard,US,If I could I would give them a negative…,If I could I would give them a negative star. I AM WHITE AND PROUD OF IT,"Feb 24, 2021",1,https://www.trustpilot.com/users/5fe68031643b8d001ad5b9fc
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
JD Brogdon,US,as a long time Coca Cola customer at…,as a long time Coca Cola customer at this point I will no purchase anymore of your products its disgusting to think that in America we have business that discriminates against its employees with a list of things white employees can do to be less white what are you guys thinking I hope every employee involved sues your asses off,"Feb 24, 2021",1,https://www.trustpilot.com/users/6036bf8e1759420019642079
Brian Sizemore,US,Going to be less coke and more Pepsi,Going to be less coke and more Pepsi. You should be ashamed of yourselves.,"Feb 24, 2021",1,https://www.trustpilot.com/users/6036935ed8cdec001ad37b2f
patti carpenter,US,How incredibly RACIST is Coke with it’s…,"How incredibly RACIST is Coke with it’s ANTI-WHITE trainings! I hope every WHITE person NEVER BUYS COKE AGAIN! Program after program educational or government whites are treated with sense of lowest priority.Now we are told NOT TO BE WHO WE ARE, be more BLACK. Coke I hope you go BELLY UP!! LET’S GO PEPSI!’","Feb 24, 2021",1,https://www.trustpilot.com/users/60366a27e3e1a6001fef96ae
Carrie Smith,US,Coke prices are racist!,"You want others to be less white so you should be less white as well. Your product is priced for the white elite. Minorities can’t afford your white privileged priced drink! $1.00 per 2 liter is more acceptable, otherwise you are racists!","Feb 24, 2021",1,https://www.trustpilot.com/users/5f9ec35f2fffbc001a4672e7
Michael Parkin,GB,Racism at it's best,Racism at it's best! Anti white are you coca cola? I hope you go bust.Ps I'm extremely proud to be English and WHITE,"Updated Feb 24, 2021",1,https://www.trustpilot.com/users/5a5f29af0000ff000b020ede
Joeseph Heizenberg,US,Racist people,"Racist people. Stop giving them your money. I'm black, if someone told me I was to black I'd be just as upset. Ridiculous 1930s germany-esque propaganda.","Feb 24, 2021",1,https://www.trustpilot.com/users/60362492d7c49c0019ab23a4
Brandon,US,Poor Quality and RACIST,"Products linked to severe health issues and a company culture that pushes staff to be ""less white"". Racist companies don't deserve to remain solvent and operate at all.","Feb 24, 2021",1,https://www.trustpilot.com/users/5e4c3ad7878feeaa0dc37b48
Christina Parrott,US,Too bad that I can’t leave zero stars!,"Too bad that I can’t leave zero stars!! Your disgusting request for whites to be less white is one of the most divisive and disgusting acts of racism I’ve ever heard!I was blessed to grow up in a German American Lutheran home with a father who, as a Lutheran pastor, practiced what he preached! He treated everyone equally. Race didn’t come into play. EVERYONE was welcomed with open arms!Grow up! Stop being divisive! Our family will NEVER purchase any of your products again!","Feb 24, 2021",1,https://www.trustpilot.com/users/5fea12062f98d1001a90e9f3
Ralphy,US,Fluck You Coca-Cola,I refuse to support a racist company like Coke.  Fluck you coca cola for your stupid ass diversity training.  Maybe your HR department should try to be less stupid.Boycott Coke. They don't deserve America's patronage,"Feb 23, 2021",1,https://www.trustpilot.com/users/60358e69558216001bf5fb1f
Chancey Service,US,Since 1959 we have had the Coke machine…,"Since 1959 we have had the Coke machine at our business. In our home, we have always drank Coke products. Today it will be replaced by Pepsi.  We are so ashamed of an American product that would make such racist comments toward a particular skin color. We always supported Coke, we always thought Coke was a very diverse company and supported all types of ethic groups, not targeting out a particular group. You have all jumped on the band wagon of hate.","Feb 23, 2021",1,https://www.trustpilot.com/users/603563c730d89f0019f982e4
Chris,GB,I will not be buying anymore of your…,I will not be buying anymore of your products again..But I'm white so that will make you racists happy..,"Feb 23, 2021",1,https://www.trustpilot.com/users/5c3e33f0608f083722dfb47c
Dan,GB,will never buy a product from a company…,will never buy a product from a company that has clearly racist agenda,"Feb 23, 2021",1,https://www.trustpilot.com/users/5ab53b164de5666d349aa9e1
Drink water,GB,"No added racism, please.",Stick to your original formula. The added racism leaves a bad taste.,"Feb 23, 2021",1,https://www.trustpilot.com/users/60353e6fabd69e001cfc5a62
Frank Cerny,US,Lost my business,"Totally racist company telling people to ""act less white"". I'm not going to buy a product from a company that makes stupid remarks like that. Coca-Cola has completely lost my business.   Pepsi is a better product anyways.","Feb 23, 2021",1,https://www.trustpilot.com/users/5fb9bb96cd69310019429209
Chester Barden,US,Sorry I don’t know how to be less of…,Sorry I don’t know how to be less of who I am! Maybe y’all should try and be less woke! Never drinking any of your products again!,"Feb 23, 2021",1,https://www.trustpilot.com/users/5dfd827f98483683d67595f2
Hendrik,ZA,#CocaCola try to be less Racists,"Woke up this morning with #CocaCola on social media, try to be less white. Nah I will rather skip your full range of products from now on.","Feb 23, 2021",1,https://www.trustpilot.com/users/60351bac070827001cb07406
Bryan Crater,US,Way to go Coke,"Way to go Coke! You officially lost another customer because of you wanting white people to act less white? WOW!How about you ask your black employees to act less black while you're at it? Until you go public and say ""our black employee's need to be less black"" I refuse to give you another penny!Racists!!!P.S. Pepsi never tasted as good as it does now.","Updated Feb 23, 2021",1,https://www.trustpilot.com/users/6034ecc2bebbb0001aa84f36
Coca Nola,GB,Boycott Coca cola,Yep! No more coca cola for me. Epic error. Racist company. Hello Pepsi.,"Updated Feb 23, 2021",1,https://www.trustpilot.com/users/6034e0f5070827001cb04666
Dave,GB,Coca Cola are racists,"According to Coca Cola, the colour of your skin makes you evil. That makes Coca Cola racist. I will not support racist companies","Feb 23, 2021",1,https://www.trustpilot.com/users/558dac9d0000ff0001c8b444
Timothy Yongue,US,I’m a proud white American and will…,"I’m a proud white American and will never buy any of your products again, shame on you !!! For teaching anything in your company about being less white, what ashamed, I’m a Pepsi drinker from now on and all my friends have agreed also ! Such a pity that a true American icon could stoop so low","Feb 23, 2021",1,https://www.trustpilot.com/users/60348c4c5e8563001a8627f7
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Ashley Williams,US,Awful products,"If I could give you zero stars I would. To teach corporate culture of being less white makes ur coke products taste AWFUL. I will not spend one more dime on your company. I can’t change my skin color, but I sure can change what products I buy and drink. Epic fail coke epic fail.","Feb 23, 2021",1,https://www.trustpilot.com/users/60345ce65e8563001a86230a
Eric Pearce,US,Racist do not deserve to be advised.,,"Feb 22, 2021",1,https://www.trustpilot.com/users/6034387a070827001cafed4f
Anon,GB,I got told by Coca Cola that im too…,I got told by Coca Cola that im too white and being white is a bad thing. The colour of my skin makes me evil they say. They really hate white people so im going to be more black and by black i mean Pepsi Max.,"Feb 22, 2021",1,https://www.trustpilot.com/users/4f140aab0000640001120540
Michael Kovalchik,US,Racist  company  no more products for…,Racist  company  no more products for me .,"Feb 22, 2021",1,https://www.trustpilot.com/users/6034252d73fb940019d9af68
Michael Graves,US,Coca Cola is a racist company,Coca Cola is a racist company by asking white people to be more black. Let the lawsuits fly!,"Feb 22, 2021",1,https://www.trustpilot.com/users/603403ea070827001cafd530
Jeremy Doty,US,Very rasict company  forcibly making…,Very rasict company  forcibly making people and employees  change their ways!!!! Garbage,"Feb 22, 2021",1,https://www.trustpilot.com/users/59da88ff0000ff000ad27be1
Jalen Morris,US,Will never buy another coke product…,Will never buy another coke product again. Any sort of racism is pathetic. And helping push that bullsh*t agenda is pathetic.,"Feb 22, 2021",1,https://www.trustpilot.com/users/6033d597b7ecea001aeb620d
Wes Brister,US,Looks like you hired a Marxist loser to…,Looks like you hired a Marxist loser to focus on race. Never used your product. When I see someone else drinking it I’ll let them know about the ideology you support.,"Feb 22, 2021",1,https://www.trustpilot.com/users/6033a4bb070827001caf992c
Ashley,US,Racist Company,I will not support a company that is as racist as Coca-Cola! You just lost my business!,"Feb 22, 2021",1,https://www.trustpilot.com/users/60331fe257d9f600198baea9
James Perrin,GB,Training your staff to be less white,"Training your staff to be less white, is the most offensive thing I have ever herd. Me or my family will never spend our money on your Products again. You racist scum.","Feb 21, 2021",1,https://www.trustpilot.com/users/5957ffae0000ff000aaa6b23
Jan,US,Will not support racism,Will not support racism: white and proud lost a customer for life . Shame on you Coca Cola .,"Feb 21, 2021",1,https://www.trustpilot.com/users/600a4d40e7977c001a94c592
Nash,NL,How does the most sold soda arround the…,"How does the most sold soda arround the world have a 2* Review. If that many poeple didn't like it, wouldn't they just drink something else?The amount of fake reviews is just outstanding.","Feb 21, 2021",4,https://www.trustpilot.com/users/60327a12d54568001922352c
Dar C,US,Racist Company,I am white and proud of who I am -I do not judge anyone by color neither should you !!!!! You are racists!!!!,"Feb 21, 2021",1,https://www.trustpilot.com/users/5ca1375011d267f10d166e2f
T A,US,No longer purchasing any Coca Cola products,I have always bought Coca Cola products but I will no longer buy one more product from this anti-white (racist) company. Maybe they should do some research and see who’s buying their products before they make these ridiculous decisions.,"Feb 21, 2021",1,https://www.trustpilot.com/users/6031a86e4b6bae001a414c47
Terran Watford,US,Used to drink Coca-Cola products all my…,Used to drink Coca-Cola products all my life the Coca-Cola has went anti-white and I will never purchase or drink another item y'all make I Googled every item y'all make and I will not buy it thank God I did not accept a job with with the racist Coca-Cola Company,"Feb 20, 2021",1,https://www.trustpilot.com/users/5df567c5815b04051276ce3f
Joanne,GB,Just loving it,Just loving it : ),"Feb 20, 2021",5,https://www.trustpilot.com/users/6028505be62fd20019329e5b
shalise jensen,US,QUESTIONING EQUAL OPPORTUNITY,I will make an effort to avoid ALL Coke products. I am a white female and can not be anything other than white. I am EXTREMELY troubled by anyone with a racist mindset and this company is definitely on the radar!!!,"Feb 20, 2021",1,https://www.trustpilot.com/users/60313fbabb3faf0019957ff4
Crystal Bristow,CA,Racist oppressive company do NOT support,"Guess what a$$holes i’m WHITE, my whole family is WHITE... and we are PROUD of it... just like anyone else who is proud of their heritage!!! PEPSI will now get our entire families support and many many many more!!! Stay in the pop business and out of f&$king politics... terrible company!!","Feb 20, 2021",1,https://www.trustpilot.com/users/5ff9d9d103e8b7001a6ed06d
CrazyCatCookie,DE,Best non-alcoholic beverage,Coca-Cola always makes your day better. I prefer Zero due to the regular one having too much sugar tho.,"Feb 8, 2021",5,https://www.trustpilot.com/users/60214ff5b3ed6200192d789f
Chloe Manalo,PH,I Love Coca-Cola,I Love Coca-Cola . 💕 Always complete my day!,"Feb 8, 2021",5,https://www.trustpilot.com/users/601ff332196c46001941e077
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Tasneem Chowdhury,US,Thank you for teaching me that taste…,Thank you for teaching me that taste can be versatile,"Feb 4, 2021",5,https://www.trustpilot.com/users/5a2302310000ff000aeb1c43
Ellis Schwindt,US,I’m a retailer,I’m a retailer. Coca Cola is the worst out of 23 suppliers- they don’t want to make a sale and don’t care about their customers. We have begged for them to give us product on a regular basis but they refuse to make a sale. Very sad,"Feb 2, 2021",2,https://www.trustpilot.com/users/6019004f455229001a661cec
James Simms,US,It has made my date many times and I…,"It has made my date many times and I use it to calm my nerves a number of times, there has been a number of times I use to quench my thirst and even when I'm hungry it's the fastest drink I could a way catch up with.","Jan 28, 2021",3,https://www.trustpilot.com/users/601258b21a3577001a270add
Kleigh,GB,Joke of a company steal your money and don't ship the products out,Made a order before Christmas and it's been a month and it still hasn't arrived do not use these,"Updated Jan 26, 2021",1,https://www.trustpilot.com/users/5df38ea67e8d917ec471e425
winston simmons,US,Nice thinking on the fancy new bottle…,Nice thinking on the fancy new bottle shape for your 2 liters. The last coca cola and sprite that I will ever purchase doesn't fit anywhere in refrigerator. Not smart,"Jan 25, 2021",1,https://www.trustpilot.com/users/5ee29823da7651109db2efa3
jhoana m,PH,I love the taste among other brands,"I love the taste among other brands. For health reasons I started to minimize drinking sodas but every time I do, I still grab Coca Cola as my personal choice. It has stronger taste than others.","Jan 21, 2021",3,https://www.trustpilot.com/users/6005b00525bb56001bc83c5e
Josh Wells,GB,Absolutely awful,Absolutely awful. Do not order from them. Two weeks on i haven’t received my order. Customer service just play games and drag it on. No sympathy at any point. Still haven’t received my order and told today everything is out of stock. Absolutely useless,"Jan 21, 2021",1,https://www.trustpilot.com/users/5ecbc636c66da34a198d6ebb
Lewis Fraser,GB,I liked the old taste better.,It seems they have changed the formula. I liked the old taste better.,"Jan 11, 2021",3,https://www.trustpilot.com/users/5ffc413c6588cd00199c4c98
Shawna Marshall,US,⚠️⚠️⚠️CANCEL COKE!,"⚠️⚠️⚠️CANCEL COKE!!  Play stupid games... win stupid prizes!!  F Coke, should have left politics out of it!!  EVERYONE DEINK PEPSI- show these pigs at Coke they don’t run this sh!t, we do!","Jan 9, 2021",1,https://www.trustpilot.com/users/5faf1d9b3e65b100190bb379
ahmed essayed,EG,I like  this drink   so much,"I like  this drink   so much,  Its tast  is quite  good  ,  I like it  with any  snack  ,   its  a wonderful to  drink it  with ytour fiends","Jan 8, 2021",5,https://www.trustpilot.com/users/5fe21102fb65680019f3874d
Felicita Offiong,NG,"This company is so amazing,it has serve…","This company is so amazing,it has serve many countries,it has a unique taste compare to Rc drink,and the rest,I love Coca-Cola,they have impacted so many lives by empowering them,and presently they are in collaboration with Whitefieldfoundation to empower the youth.so love the company,but sometimes their suppliers can be funny,they always delay before bringing goods","Jan 8, 2021",5,https://www.trustpilot.com/users/5ff772c9188ae0001c90d895
Dionisia **,AU,Coca-Cola is just not the same . Unless in a can it’s not gassy .,"Look . I love me some Coca-Cola as it’s my gateway drink to eat more. However , lately I have sadly experienced that unless it’s in a can... it is not gassy and therefore leads to disappointment when I can’t use it as my gateway drink to enjoy chocolates , etc from my basket of goods. Bring back the gas plz. I’m confused as to  why it’s not as gassy anymore .Haven’t enjoyed it for a while.for real though...  i remember few years back bottles of coke used to last with gas and you could still drink it a day after opening. now, a bottle gets opened and first drink is okay with gas (not great but has some form) and then its just flat. why is this?cans seem to be the better option but yeah bit disapointed with the bottles these days","Updated Jan 5, 2021",1,https://www.trustpilot.com/users/5ff3219be17491001abd97c3
Bigfoot Beth,DE,My top refreshment choice!,"Whenver it's a sunny day and i don't feel like drinking a beer, Coca-Cola is there to save the day. Delicious flavour that no one can immitate.","Jan 4, 2021",5,https://www.trustpilot.com/users/5ff26cece17491001abd29fe
Dave Buitenhuis,NL,Simply the best!,,"Dec 23, 2020",5,https://www.trustpilot.com/users/595605290000ff000aa9dccf
Michal Simoncik,CZ,Did not know that this web page exist :D,,"Dec 23, 2020",3,https://www.trustpilot.com/users/5fda0158ec0fc7001a79d9d6
John Cantor,US,i love there products,i love their products,"Updated Dec 23, 2020",4,https://www.trustpilot.com/users/5fe2aee93fb11500192f3cfa
jason,US,"Coca Cola, along with apple and Nike, supports slavery in china","“I read in the New York Times that Coca-Cola is fighting the passage of the Uighur Forced Labor Prevention Act, a bill that would ensure that forced Uighur labor isn't used in the making of sugar your company buys. That's gross, and I will absolutely stop buying Coca-Cola products if your company continues to obstruct the bill's passage. I will also be sharing this on social media. Please pass this message along to leadership. Thanks.”","Dec 22, 2020",1,https://www.trustpilot.com/users/5fe210c95f9d410019ad4e1d
Ruth Riva,IT,My experience is always good,"My experience is always good, i trust this","Dec 3, 2020",5,https://www.trustpilot.com/users/5fc8f695e4791c0019c4c36c
ZanDaime,NL,The best drink ever,"Nothing tastes better than a fresh Coke with lemon and ice on a hot summer day. The taste, the brand, it's just ace.","Nov 30, 2020",5,https://www.trustpilot.com/users/5fc5119b94dbed001b117c63
Ethan Kulbaba,CA,I mixed it with orange juice and the…,I mixed it with orange juice and the Diet Coke flavour really complimented it well,"Nov 21, 2020",3,https://www.trustpilot.com/users/5fb98be1d030360019b715ea
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Noman Garg,IN,Osam drink as always,,"Nov 13, 2020",4,https://www.trustpilot.com/users/5fae8077d0e3d4001af5ca5b
Jáchym Šmíd,CZ,It is one of the best drinks ever!,,"Nov 8, 2020",4,https://www.trustpilot.com/users/5fa85edd23b4e4001abf2b87
John McIntosh,GB,50% recycled,I bought a bottle of coca cola the other day and noticed on the label it said Recycle me again im 50% recycled. Coca cola being the most popular drink world wide should be producing 100% recycle bottles instead if 50%. If a shampoo bottle can be 100% recycled material then why cant coca cola follow suit . With the amount of plastic waste in the world i am very disapointed in the company as they could produce 100% and keep themselves on top of the game .Very disapointed,"Updated Nov 8, 2020",1,https://www.trustpilot.com/users/5fa7f7de23b4e4001abeff4e
Steve,SI,Best drink ever!,,"Nov 6, 2020",5,https://www.trustpilot.com/users/5d13cc2ea9030cdc5d293e79
M Liaquat,GB,I was employed by CocaCola in 2019…,"I was employed by CocaCola in 2019 therefore i know the ill practise that goes on in the industry. Managers have favourite people not based on merit or capabilities. I did 3 people’s work all by myself for 6 months on 12 hour shifts. Operating hplc on regular basis and taking samples every 5-8 minutes.CocaCola used me for as long as they needed me and then sacked me because one employer kept on changing the hplc calibration every time i would leave the lab to make it more difficult for me.This had happened more then 3 times before and it was always the same person. Instead of catching out this person they blamed me for it when i wasn't even present in the lab. 2 managers joined forces to get me out. I put my 110% in this company and listened to a lot of abuse from others discrimination racist remarks the lot. I had more product being manufactured in my shift all by myself then other shifts. Red green and yellow shifts all had 3 people each to do this job however i had myself only. On an average shift i would walk 4-6 Km in 12 hrs. This resulted in huge blisters. However nothing i did had made any difference whatsoever the other person was friends with the manager therefore i was the one who was handed the wrong end of stick. The managers are involved in these bad practices and they are very quick to brush under the carpet mistakes made by their persoal. CocaCola likes to abuse its workers and then sack them. I would never recommend for a genuine person to work their. The mangers have been promoted passed their capabilities they haven’t a clue is to how to operate a hplc, gc or carl fisher, which is amazing to considering how they have come up to managers and team leaders. Not all of cocacola products are QC compliant and again managers are quick to cover up mistakes made by their friends. Which is unacceptable by any standards. FDA needs to get off their chairs and do a bit of digging up see what you find!","Updated Oct 30, 2020",1,https://www.trustpilot.com/users/5f9c1948350e3a0019bee24b
Mellow Shawty,ZA,My family and I know that we can never…,My family and I know that we can never go wrong with a bottle of coca cola after a delicious meal. We have been choosing coke over the past years and we still love it.,"Oct 28, 2020",5,https://www.trustpilot.com/users/5f994c4765701a001bd0802f
Ivo Passos,EE,Awesome product,,"Oct 21, 2020",5,https://www.trustpilot.com/users/5d3f1a959a2ed74fb020f196
Massimo Risso,IT,Bad company for the environment,,"Oct 21, 2020",1,https://www.trustpilot.com/users/5f8feffc2d1fd60019b3fc39
DoubleCrosser,NL,Flavor is on point!,"Not a big fan of the massive sugar overload but i must admit that Coca-Cola is not only super tasty, but also a classic that has maintained it's quality for decades.","Oct 21, 2020",4,https://www.trustpilot.com/users/5f8f7fa5b5995c001ac0837f
Clea Sartori,IT,One of my favorite drinks of all time,One of my favorite drinks of all time. Cherry flavor is one of my favor. With a bit of ice and here you go. Recommended for everyone.,"Oct 13, 2020",5,https://www.trustpilot.com/users/5f6aeacaaa8bdd49dafb7498
Thomas Morgan,NL,Coca cola,The most preferred soft drink of all time,"Updated Oct 9, 2020",5,https://www.trustpilot.com/users/5f8031c5f34bbe001a20a19e
Jhon White,US,I like the way this company works,,"Oct 4, 2020",5,https://www.trustpilot.com/users/5f78f8962af0b722009e631e
Jorn van den Broek,NL,I love Coke so much and love the taste,,"Sep 22, 2020",5,https://www.trustpilot.com/users/5f6a50e6933e18aa4b131754
Someone Somewhere,RU,This is a very good company,This is a very good company. I have been using their products for many years.,"Sep 21, 2020",5,https://www.trustpilot.com/users/5f685ff0e28d63f2e5cda586
Lieke Hexspoor,NL,my drink of choice,"my drink of choice, and the whole marketing thing that the company does! Good job!","Sep 19, 2020",5,https://www.trustpilot.com/users/5f65e378c75c9d3f1a26625a
